rule,results_min5_iters74.txt,results_min5_iters500.txt
NP --> NOT NN,0.00178148,0.00177517
NP --> NOT NNP,0.000279233,0.000278521
NP --> NOT PRP,0.00845405,0.00843609
NP --> NP ADJP,0.000798991,0.000898867
NP --> NP ADVP,0.000912014,0.00107869
NP --> NP ADVP SBAR,1.83617e-10,1.83119e-10
NP --> NP CC NP,0.00526682,0.0053481
NP --> NP CC NP ADVP,0.000228858,0.000233243
NP --> NP CC NP CC NP,9.07711e-05,8.85489e-05
NP --> NP CC NP CC NP CC NP,7.35261e-05,7.35231e-05
NP --> NP CC WHNP,0.000125767,0.000140979
NP --> NP INTJ,7.1657e-05,7.92213e-05
NP --> NP JJ,0.0179832,0.0179943
NP --> NP JJ NN,1.83561e-10,1.83067e-10
NP --> NP NN,0.0181687,0.0196426
NP --> NP NN NN,1.83448e-10,1.82949e-10
NP --> NP NN NNS,1.83575e-10,1.83073e-10
NP --> NP NN POS,1.83212e-10,1.82721e-10
NP --> NP NNP,0.0179385,0.0179334
NP --> NP NNP POS,6.91754e-05,6.46321e-05
NP --> NP NNS,0.00204484,0.00204669
NP --> NP NP,1.83628e-10,1.83124e-10
NP --> NP NP CC NP,0.000461756,0.000466681
NP --> NP NP NP,1.83616e-10,1.83124e-10
NP --> NP POS,1.14841e-05,1.13623e-05
NP --> NP PP,0.00652796,0.00744069
NP --> NP PP CC NP,0.000312572,0.000308847
NP --> NP PP PP,1.83477e-10,1.82983e-10
NP --> NP PP SBAR,1.83502e-10,1.8301e-10
NP --> NP S,0.000401721,0.000394449
NP --> NP SBAR,5.78837e-05,0.000203907
NP --> NP SBAR SBAR,1.83403e-10,1.82934e-10
NP --> NP VP,0.00253967,0.00212241
NP --> NP WHNP,0.000303209,0.000310492
